Sl.No.,Poem,Source,Primary
 
 জড়-ভরতের দল বসে আছে পার্কের বেঞ্চিতে,
 পবিত্র জাহ্নবী-তীরে প্রার্থী যত বেকার যুবক।
 কতক্ষণ? গঞ্জনার বড় তীব্র জ্বালা-
 বিবাগী প্রাণের তবু গৃহগত টান।
 
 ক্রমে গোঠে সন্ধ্যা নামেঃ অন্তরও নিরালা,
 এই বার ফিরে চলো, ভাগ্য সবই মিতে;
 দূরে বাজে একটানা রেডিয়োর গান।
 এখনো হয় নি শূন্য, ক্রমাগত বেড়ে চলে সখ।
 
 ক্ষীণ শব্দ ভেসে আসে, আগমনী পশ্চিমা হাওয়ায়,
 সুপ্রাচীন গুরুভক্তি আজো আনে উন্মুক্ত লালসা।
 চুপ করে বসে থাকো অন্ধকার ঘরে এক কোণেঃ
 রাম আর রাবণের উভয়েরই হাতে তীক্ষ্ণ কশা।।",Bengali,Melancholy
3784,"পূর্বাভাস
 
 সুকান্ত ভট্টাচার্য
 
 
 সন্ধ্যার আকাশতলে পীড়িত নিঃশ্বাসে
 বিশীর্ণ পাণ্ডুর চাঁদ ম্লান হয়ে আসে।
 বুভুক্ষু প্রেতেরা হাসে শাণিত বিদ্রূপে,
 প্রাণ চায় শতাব্দীর বিলুপ্ত রক্তের–
 সুষুপ্ত যরো নিত্য কাঁদিছে ক্ষুদায়
 দূর্ত দাবাগ্নি আজ জ্বলে চুপে চুপে
 প্রমত্ত কস্তুরীমৃগ ক্ষুব্ধ চেতনায়
 বিপন্ন করুণ ডাকে তোলে আর্তনাদ।
 ব্যর্থ আজ শব্দভেদী বাণ–
 সহস্র তির্যকশৃঙ্গ করিছে বিবাদ –
 জীবন-মৃত্যুর সীমানায়।
 লাঞ্ছিত সম্মান।
 ফিরে চায় ভীরু-দৃষ্টি দিয়ে।
 দুর্বল তিতিক্ষা আজ দুর্বাশার তেজে
 স্বপ্ন মাঝে উঠেছে বিষিয়ে।
 দূর পূর্বাকাশে,
 বিহ্বল বিষাণ উঠে বেজে
 মরণের শিরায় শিরায়।
 মুমূর্ষ বিবর্ণ যত রক্তহীন প্রাণ–
 বিস্ফারিত হিংস্র-বেদনায়।
 অসংখ্য স্পন্দনে চলে মৃত্যু অভিযান
 লৌহের দুয়ারে পড়ে কুটিল আঘাত,
 উত্তপ্ত মাটিতে ঝরে বর্ণহীন শোণিত প্রপাত।
 সুপ্তোত্থিত পিরামিড দুঃসহ জ্বালায়
 পৈশাচিক ক্রূর হাসি হেসে
 বিস্তীর্ণ অরণ্য মাঝে কুঠার চালায়।
 কালো মৃত্যু ফিরে যায় এসে।।",Bengali,Despair
3785,"প্রতিদ্বন্দ্বী
 
 সুকান্ত ভট্টাচার্য
 
 
 গন্ধ এনেছে তীব্র নেশায়, ফেনিল মদির,
 জোয়ার কি এল রক্ত নদীর?
 নইলে কখনো নিস্তার নেই বন্দীশালায়।
 সচারাচর কি সামনা সামনি ধূর্ত পালায়?
 কাজ নেই আর বল্লাল সেন-ই আমলে,
 মুক্তি পেয়েছি ধোঁয়াতে নিবিড় শ্যামলে,
 তোমাতে আমাতে চিরদিন চলে দ্বন্দ্ব।
 ঠাণ্ডা হাওয়ায় তীব্র বাঁশির ছন্দ।
 মনেরে জাগায় সাবধান হুঁশিয়ার।
 খুঁজে নিতে হবে পুরাতন হাতিয়ার
 পাণ্ডুর পৃথিবীতে।
 আফিঙের ঘোর মেরু-বর্জিত শীতে
 বিষাক্ত আর শিথিল আবেষ্টনে
 তোমারে স্মরিছে মনে।
 সন্ধান করে নিত্য নিভৃত রাতে
 প্রতিদ্বন্দ্বী, -উচ্ছল মদিরাতে।।",Bengali,Longing
3786,"প্রথম বার্ষিকী
 
 সুকান্ত ভট্টাচার্য
 
 
 আবার ফিরে এল বাইশে শ্রাবণ।
 আজ বর্ষশেষে হে অতীত,
 কোন সম্ভাষণ
 জানাব অলক্ষ্য পানে?
 ব্যথাক্ষুব্ধ গানে
 ঝরাব শ্রাবণ বরিষণ!
 
 দিনে দিনে, তিলে তিলে যে বেদনা
 উদাস মধুর
 হয়েছে নিঃশব্দ প্রাণে
 ভরেছে বিপুল টানে,
 তারে আজ দেব কোন সুর?
 
 তোমার ধূসর স্মৃতি, তোমার কাব্যের সুরভিতে
 লেগেছে সন্ধ্যার ছোঁওয়া, প্রাণ ভরে দিতে
 হেমন্তের শিশিরের কণা
 আমি পারিব না।
 
 প্রশান্ত সূর্যাস্ত পরে দিগন্তের যে রাগ-রক্তিমা,
 লেগেছে প্রাণের ‘পরে,
 সহসা স্মৃতির ঝড়ে
 মুছিয়া যাবে কী তার সীমা!
 তোমার সন্ধ্যার ছায়াখানি
 কোন পথ হতে মোরে
 কোন পথে নিয়ে যাবে টানি’
 অমর্ত্যরে আলোক সন্ধানী
 আমি নাহি জানি।
 একদা শ্রাবণ দিনে গভীর চরণে,
 নীরবে নিষ্ঠুর সরণিতে
 পাদস্পর্শ দিতে
 ভিক্ষুক মরণে।
 পেয়েছে পথের মধ্যে দিয়েছ অক্ষয়
 তব দান,
 হে বিরাট প্রাণ!
 তোমার চরণ স্পর্শে রোমাঞ্চিত পৃথিবীর ধূলি
 উঠিছে আকুলি’,
 আজিও স্মৃতির গন্ধে ব্যথিত জনতা
 কহিছে নিঃশব্দ স্বরে একমাত্র কথা,
 ‘তুমি হেথা নাই’।
 বিস্ময়ের অন্ধকারে মুহ্যমান জলস্থল তাই
 আদো তন্দ্রা, আধো জাগরণে
 দক্ষিণ হাওয়ায় ক্ষণে ক্ষণে
 ফেলিছে নিঃশ্বাস।
 ক্লে­দক্লি­ষ্ট পৃথিবীতে একী পরিহাস।
 তুমি চলে গেছ তবু আজিও বহিছে বারোমাস
 উদ্দাম বাতাস,
 এখনো বসন্ত আসে
 সকরুণ বিষণ্ণ নিঃশ্বাসে,
 এখনো শ্রাবণ ঝরোঝর
 অবিশ্রান্ত মাতায় অন্তর।
 এখনো কদম্ব বনে বনে
 লাগে দোলা মত্ত সমীরণে,
 এখনো উদাসি’
 শরতে কাশের ফোটে হাসি।
 জীবনে উচ্ছ্বাস, হাসি গান
 এখনো হয় নি অবসান।
 এখনো ফুটিছে চাঁপা হেনা,
 কিছুই তো তুমি দেখিলে না।
 তোমার কবির দৃষ্টি দিয়ে
 কোন কিছু দিলে না চিনিয়ে
 এখন আতঙ্ক দেখি পৃথিবীর অস্থিতে মজ্জায়,
 সভ্যতা কাঁপিছে লজ্জায়;
 স্বার্থের প্রাচীরতলে মানুষের সমাধি রচনা,
 অযথা বিভেদ সৃষ্টি, হীন প্ররোচনা
 পরস্পর বিদ্বেষ সংঘাতে,
 মিথ্যা ছলনাতে –
 আজিকার মানুষের জয়;
 প্রসন্ন জীবন মাঝে বিসর্পিল, বিভীষিকাময়।।",Bengali,Melancholy
3787,"বিভীষণের প্রতি
 
 সুকান্ত ভট্টাচার্য
 
 
 আমরা সবাই প্রস্তুত আজ, ভীরু পলাতক
 লুপ্ত অধুনা এদেশে তোমার গুপ্তঘাতক,
 হাজার জীবন বিকশিত এক রক্ত-ফুলে,
 পথে-প্রান্তরে নতুন স্বপ্ন উঠেছে দুলে।
 অভিজ্ঞতার আগুনে শুদ্ধ অতীত পাতক,
 এখানে সবাই সংঘবদ্ধ, হে নবজাতক।
 
 ক্রমশ এদেশে গুচ্ছবদ্ধ রক্ত-কুসুম
 ছড়ায় শত্রু-শবের গন্ধ, তাতে ভাঙে ভীত ঘুম।
 এখানে কৃষক বাড়ায় ফসল মিলিত হাতে,
 তোমার স্বপ্ন চূর্ণ করার শপথ দাঁতে ,
 যদিও নিত্য মূর্খ বাধার ব্যর্থ জুলুমঃ
 তবু শত্রুর নিদনে লিপ্ত বাসনার দুম।
 
 মিলিত ও ক্ষত পায়ের রক্ত গড়ে লালপথ,
 তাইতো লক্ষ মুঠিতে ব্যক্ত দৃঢ় অভিমত।
 ক্ষুদিত প্রাণের অক্ষরে লেখা, “প্রবেশ নিষেধ,
 এখানে সবাই ভুলেছে দ্বন্দ্ব ভুলেছে বিভেদ।”
 দুর্ভিক্ষ ও শত্রুর শেষ হবে যুগপৎ,
 শোণিত ধারার উষ্ণ ঐক্যে ঘনায় বিপদ।।",Bengali,Longing
3788,"বুদ্বুদ মাত্র
 
 সুকান্ত ভট্টাচার্য
 
 
 মৃত্যুকে ভুলেছ তুমি তাই,
 তোমার অশান্ত মনে বিপ্লব বিরাজে সর্বদাই।
 প্রতিদিন সন্ধ্যাবেলা মৃত্যুকে স্মরণ ক’রো মনে,
 মুহূর্তে মুহূর্তে মিথ্যা জীবন ক্ষরণে, –
 তারি তরে পাতা সিংহাসন,
 রাত্রি দিন অসাধ্য সাধন।
 তবুও প্রচণ্ড-গতি জীবনের ধরা,
 নিয়ত কালের কীর্তি দিতেছে পাহারা,
 জন্মের প্রথম কাল হতে,
 আমরা বুদ্বুদ মাত্র জীবনের স্রোতে।
 এ পৃথিবী অত্যন্ত কুশলী,
 যেখানে কীর্তির নামাবলী,
 আমাদের স্থান নেই সেথা –
 আমরা শক্তের ভক্ত, নহি তো বিজেতা।।",Bengali,Melancholy
3789,"মুহূর্ত (ক)
 
 সুকান্ত ভট্টাচার্য
 
 
 এমন মুহূর্ত এসেছিল
 একদিন আমার জীবনে
 যে মহূর্তে মনে হয়েছিল
 সার্থক ভুবনে বেঁচে থাকাঃ
 কালের আরণ্য পদপাত
 ঘটেছিল আমার গুহায়।
 জরাগ্রস্ত শীতের পাতারা
 উড়ে এসেছিল কোথা থেকে,
 সব কিছু মিশে একাকার
 কাল-বোশেখীর পদার্পণে
 সেদিন হাওয়ায় জমেছিল
 অদ্ভুত রোমাঞ্চ দিকে দিকে;
 আকাশের চোখে আশীর্বাদ,
 চুক্তি ছিল আমৃত্যু জীবনে।
 সে সব মুহূর্তগুলো আজো
 প্রাণের অষ্পষ্ট প্রশাখায়
 ফোটায় সবুজ ফুল,
 উড়ে আসে কাব্যের মৌমাছি।
 অসংখ্য মুহূর্তে গ’ড়ে তোলা
 স্বপ্ন-দুর্গ মুহূর্তে চুরমার।
 আজ কক্ষচ্যুত ভাবি আমি
 মুহূর্তকে ভুলে থাকা বৃথা; –
 যে মুহূর্ত অদৃশ্য প্লাবনে
 টেনে নিয়ে যায় কান্তরে।
 আজ আছি নক্ষত্রের দলে,
 কাল জানি মুহূর্তের টানে
 ভেসে যাব সূর্যের সভায়,
 ক্ষুব্ধ কালো ঝড়ের জাহাজে।।",Bengali,Longing
3790,"মুহূর্ত (খ)
 
 সুকান্ত ভট্টাচার্য
 
 
 মুহূর্তকে ভুলে থাকা বৃথা
 যে মুহূর্ত
 তোমার আমার আর অন্য সকলের
 মৃত্যুর সূচনা,
 যে মুহূর্ত এনে দিল আমার কবিতা
 আর তোমার আগ্রহ।
 এ মুহূর্তে সূর্যোদয়,
 এ মুহূর্তে নক্ষত্রের সভা,
 আর এক মুহূর্তে দেখি কালো ঝড়ে
 সুস্পষ্ট সংকেত।
 অনেক মুহূর্ত মিলে পৃথিবীর
 বাড়াল ফসল,
 মুহূর্তে মুহূর্তে তারপর
 সে ফসলে ঘনালো উচ্ছেদ।
 
 এমন মুহূর্ত এল আমার জীবনে,
 যে মুহূর্ত চিরদিন মনে রাখা যায় –
 অথচ আশ্চর্য কথা
 নতুন মুহূর্ত আর এক
 সে মুহূর্তে ছড়ালো বিষাদ।
 অনেক মুহূর্ত গেছে অনেক জীবন,
 যে সব মুহূর্ত মিলে
 আমার কাব্যের শূন্য হাতে
 ভরে দিত অক্ষয় সম্পদ।
 কিন্তু আজ উষ্ণ-দ্বিপ্রহরে
 আমার মুহূর্ত কাটে কাব্যরচনার
 দুঃসহ চেষ্টায়।
 হয়তো এ মুহূর্তেই অন্য কোনো কবি
 কাব্যের অজস্র প্রেরণায়
 উচ্ছ্বসিত, অথচ বাধার
 উদ্ধত প্রাচীর মুখোমুখি।
 অতএব মুহূর্তকে মনে রাখা ভাল
 যে মুহূর্ত বৃথা ক্ষয় হয়।
 গোপন মুহূর্ত আজ এক
 নিশ্ছিদ্র আকাশে
 অবিরাম পূর্বাচল খুঁজে
 ক্লান্ত হল অস্ফুট জীবনে,
 নিঃসঙ্গ স্বপ্নের আসা-যাওয়া
 ধূলিসাৎ – তাই আজ দেখি,
 প্রত্যেক মুহূর্ত অনাগত
 মুহূর্তের রক্তিম কপোলে
 তুলে ধরে সলজ্জ প্রার্থনা।।",Bengali,Melancholy
3791,"মৃত পৃথিবী
 
 সুকান্ত ভট্টাচার্য
 
 
 পৃথিবী কি আজ শেষে নিঃস্ব
 ক্ষুধাতুর কাঁদে সারা বিশ্ব,
 চারিদিকে ঝরে পড়া রক্ত,
 জীবন আজকে উত্যক্ত।
 আজকের দিন নয় কাব্যের
 পরিণাম আর সম্ভাব্যের
 ভয় নিয়ে দিন কাটে নিত্য,
 জীবনে গোপন-দুর্বৃত্ত।
 তাইতো জীবন আজ রিক্ত,
 অলস হৃদয় স্বেদসিক্ত;
 আজকে প্রাচীর গড়া ভিন্ন
 পৃথিবী ছড়াবে ক্ষতচিহ্ন।
 অগোচরে নামে হিম-শৈত্য,
 কোথায় পালাবে মরু দৈত্য?
 জীবন যদিও উৎক্ষিপ্ত,
 তবু তো হৃদয় উদ্দীপ্ত,
 বোধহয় আগামী কোনো বন্যায়,
 ভেসে যাবে অনশন, অন্যায়।।",Bengali,Longing
3792,"সহসা
 
 সুকান্ত ভট্টাচার্য
 
 
 আমার গোপন সূর্য হল অস্তগামী
 এপারে মর্মরধ্বনি শুনি,
 নিস্পন্দ শবের রাজ্য হতে
 ক্লান্ত চোখে তাকাল শকুনি।
 
 গোদূলি আকাশ ব’লে দিল
 তোমার মরণ অতি কাছে,
 তোমার বিশাল পৃথিবীতে
 এখনো বসন্ত বেঁচে আছে।
 
 অদূরে নিবিড় ঝাউবনে
 যে কালো ঘিরেছে নীরবতা,
 চোখ তারই দীর্ঘায়িত পথে
 অস্পষ্ট ভাষায় কয় কথা।
 
 আমার দিনান্ত নামে ধীরে
 আমি তো সুদূর পরাহত,
 অশত্থশাখায় কালো পাখি
 দুশ্চিন্তা ছড়ায় অবিরত।
 
 সন্ধ্যাবেলা, আজ সন্ধ্যাবেলা
 নিষ্ঠুর তমিস্রা ঘনাল কী!
 মরণ পশ্চাতে বুঝি ছিল
 সহসা উদার চোখাচোখি।।",Bengali,Melancholy
3793,"সুতরাং
 
 সুকান্ত ভট্টাচার্য
 
 
 এত দিন ছিল বাঁধা সড়ক,
 আজ চোখে দেখি শুধু নরক!
 এত আঘাত কি সইবে,
 যদি না বাঁচি দৈবে?
 চারি পাশে লেগে গেছে মড়ক!
 
 বহুদিনকার উপার্জন,
 আজ দিতে হবে বিসর্জন।
 নিষ্ফল যদি পন্থা;
 সুতরাং ছেঁড়া কন্থা
 মনে হয় শ্রেয় বর্জন।।",Bengali,Despair
3794,"স্বতঃসিদ্ধ
 
 সুকান্ত ভট্টাচার্য
 
 
 মৃত্যুর মৃত্তিকা ‘পরে ভিত্তি প্রতিকূল –
 সেখানে নিয়ত রাত্রি ঘনায় বিপুল;
 সহসা চৈত্রের হাওয়া ছড়ায় বিদায়ঃ
 স্তিমিত সূর্যের চোখে অন্ধকার ছায়।
 বিরহ-বন্যার বেগে প্রভাতের মেঘ
 রাত্রির সীমায় এসে জানায় আবেগ,
 ধূসর প্রপঞ্চ-বিশ্ব উন্মুক্ত আকাশে
 অনেক বিপন্ন স্মৃতি বয়ে নিয়ে আসে।
 তবু তো প্রাণের মর্মে প্রচ্ছন্ন জিজ্ঞাসা
 অজস্র ফুলের রাজ্যে বাঁধে লঘু বাসা;
 রাত্রির বিবর্ণ স্মৃতি প্রভাতের বুকে
 ছড়ায় মলিন হাসি নিরর্থ-কৌতুকে।।",Bengali,Longing
3795,"স্বপ্নপথ
 
 সুকান্ত ভট্টাচার্য
 
 
 আজ রাত্রে ভেঙে গেল ঘুম,
 চারিদিক নিস্তব্ধ নিঃঝুম,
 তন্দ্রাঘোরে দেখিলাম চেয়ে
 অবিরাম স্বপ্নপথ বেয়ে
 চলিয়াছে দুরাশার স্রোত,
 বুকে তার বহু ভগ্ন পোত।
 বিফল জীবন যাহাদের,
 তারাই টানিছে তার জের;
 অবিশ্রান্ত পৃথিবীর পথে,
 জলে স্থলে আকাশে পর্বতে।
 একদিন পথে যেতে যেতে
 উষ্ণ বক্ষ উঠেছিল মেতে
 যাহাদের, তারাই সংঘাতে
 মৃত্যুমুখী, ব্যর্থ রক্তপাতে।।",Bengali,Despair
3796,"স্মারক
 
 সুকান্ত ভট্টাচার্য
 
 
 আজ রাতে যদি শ্রাবণের মেঘ হঠাৎ ফিরিয়া যায়
 তবুও পড়িবে মনে,
 চঞ্চল হাওয়া যদি ফেরে হৃদয়ের আঙ্গিনায়
 রজনীগন্ধা বনে,
 তবুও পড়িবে মনে।
 বলাকার পাখা আজও যদি উড়ে সুদূর দিগঞ্চলে
 বন্যার মহাবেগে,
 তবুও আমার স্তব্ধ বুকের ক্রন্দন যাবে মেলে
 মুক্তির ঢেউ লেগে,
 মুক্তির মহাবেগে।
 বাসরঘরের প্রভাতের মতো স্বপ্ন মিলায় যদি
 বিনিদ্র কলরবে
 তবুও পথের শেষ সীমাটুকু চিরকাল নিরবধি
 পার হয়ে যেতে হবে,
 বিনিদ্র কলরবে।
 মদিরাপাত্র শুষ্ক যখন উৎসবহীন রাতে
 বিষণ্ণ অবসাদে
 বুঝি বা তখন সুপ্তির তৃষা ক্ষুব্ধ নয়নপাতে
 অস্থির হয়ে কাঁদে,
 বিষণ্ণ অবসাদে।
 নির্জন পথে হঠাৎ হাওয়ার আসক্তহীন মায়া
 ধূলিরে উড়ায় দূরে,
 আমার বিবাগী মনের কোণেতে কিসের গোপন ছায়া
 নিঃশ্বাস ফেলে সুরে;
 ধূলিরে উড়ায় দূরে।
 কাহার চকিত-চাহনি-অধীর পিছনের পানে চেয়ে
 কাঁদিয়া কাটায় রাতি,
 আলেয়ার বুকে জ্যোৎস্নার ছবি সহসা দেখিতে পেয়ে
 জ্বালে নাই তার বাতি,
 কাঁদিয়া কাটায় রাতি।
 বিরহিণী তারা আঁধারের বুকে সূর্যেরে কভু হায়
 দেখেনিকো কোনো ক্ষণে।
 আজ রাতে যদি শ্রাবণের মেঘ হঠাৎ ফিরিয়া যায়
 হয়তো পড়িবে মনে,
 রজনীগন্ধা বনে।।",Bengali,Longing
3797,"হদিশ
 
 সুকান্ত ভট্টাচার্য
 
 
 আমি সৈনিক, হাঁটি যুগ থেকে যুগান্তরে
 প্রভাতী আলোয়, অনেক ক্লান্ত দিনের পরে,
 অজ্ঞাত এক প্রাণের ঝড়ে।
 
 বহু শতাব্দী দরে লাঞ্ছিত, পাই নি ছাড়া
 বহু বিদ্রোহ দিয়েছে মনের প্রান্ত নাড়া
 তবু হতবাক দিই নি সাড়া।
 
 আমি সৈনিক, দাসত্ব কাঁদে যুদ্ধে যেতে
 দেখেছি প্রাণের উচ্ছ্বাস দূরে ধানের ক্ষেতে
 তবু কেন যেন উঠি নি মেতে।
 
 কত সান্ত্বনা খুঁজেছি আকাশে গভীর নীলে
 শুধু শূন্যতা এনেছে বিষাদ এই নিখিলে
 মূঢ় আতঙ্ক জন-মিছিলে।
 
 ক্ষতবিক্ষত চলেছি হাজার, তবুও একা
 সামনে বিরাট শত্রু পাহাড় আকাশ ঠেকা
 কোন সূর্যের পাই নি দেখা।
 
 অনেক রক্ত দিয়েছি বিমূঢ় বিনা কারণে
 বিরোধী স্বার্থ করেছি পুষ্ট অযথা রণে;
 সঙ্গিবিহীন প্রাণধারণে।
 
 ভীরু সৈনিক করেছি দলিত কত বিক্ষোভ
 ইন্ধন চেয়ে যখনি জ্বলেছে কুবেরীর লোভ
 দিয়েছি তখনি জন-খাণ্ডব!
 
 একদা যুদ্ধ শুরু হল সারা বিশ্ব জুড়ে,
 জগতের যত লুণ্ঠনকারী আর মজুরে,
 চঞ্চল দিন ঘোড়ার খুরে।
 
 উঠি উদ্ধত প্রাণের শিখরে, চারিদিকে চাই
 এল আহ্বান জন-পুঞ্জের শুনি রোশনাই
 দেখি ক্রমাগত কাছে উৎরাই।
 
 হাতছানি দিয়ে গেল শস্যের উন্নত শীষ,
 জনযাত্রায় নতুন হদিশ –
 সহসা প্রণের সবুজে সোনার দৃঢ় উষ্ণীষ।।",Bengali,Melancholy
3798,"হে পৃথিবী
 
 সুকান্ত ভট্টাচার্য
 
 
 হে পৃথিবী, আজিকে বিদায়
 এ দুর্ভাগা চায়,
 যদি কভু শুধু ভুল ক’রে
 মনে রাখো মোরে,
 বিলুপ্ত সার্থক মনে হবে
 দুর্ভাগার!
 বিস্মৃত শৈশবে
 যে আঁদার ছিল চারিভিতে
 তারে কি নিভৃতে
 আবার আপন ক’রে পাব,
 ব্যর্থতার চিহ্ন এঁকে যাব,
 স্মৃতির মর্মরে?
 প্রভাতপাখির কলস্বরে
 যে লগ্নে করেছি অভিযান,
 আজ তার তিক্ত অবসান।
 তবু তো পথের পাশে পাশে
 প্রতি ঘাসে ঘাসে।
 লেগেছে বিস্ময়!
 সেই মোর জয়।।",Bengali,Melancholy
3799,"উদ্যোগ
 
 সুকান্ত ভট্টাচার্য
 
 
 বন্ধু, তোমার ছাড়ো উদ্বেগ, সুতীক্ষ্ণ করো চিত্ত,
 বাংলার মাটি দুর্জয় ঘাঁটি বুঝে নিক দুর্বৃত্ত।
 মূঢ় শত্রুকে হানো স্রোত রুখে, তন্দ্রাকে করো ছিন্ন,
 একাগ্র দেশে শত্রুরা এসে হয়ে যাক নিশ্চিহ্ন।
 ঘরে তোল ধান, বিপ্লবী প্রাণ প্রস্তুত রাখো কাস্তে,
 গাও সারিগান, হাতিয়ারে শান দাও আজ উদয়াস্তে।
 আজ দৃঢ় দাঁতে পুজিত হাতে প্রতিরোধ করো শক্ত,
 প্রতি ঘাসে ঘাসে বিদ্যুৎ আসে জাগে সাড়া অব্যক্ত।
 আজকে মজুর হাতুড়ির সুর ক্রমশই করে দৃপ্ত,
 আসে সংহতি; শত্রুর প্রতি ঘৃণা হয় নিক্ষিপ্ত।
 ভীরু অন্যায় প্রাণ-বন্যায় জেনো আজ উচ্ছেদ্য,
 বিপন্ন দেশে তাই নিঃশেষে ঢালো প্রাণ দুর্ভেদ্য!
 সব প্রস্তুত যুদ্ধের দূত হানা দেয় পুব-দরজায়,
 ফেণী ও আসামে, চট্টগ্রামে ক্ষীপ্ত জনতা গর্জায়।
 বন্ধু, তোমার ছাড়ো উদ্বেগ, সুতীক্ষ্ণ করো চিত্ত,
 বাংলার মাটি দুর্জয় ঘাঁটি বুঝে নিক দুর্বৃত্ত॥",Bengali,Longing
3800,"“নব জ্যামিতি”র ছড়া
 
 সুকান্ত ভট্টাচার্য
 
 
 Food Problem [একটি প্রাথমিক সম্পাদ্যের ছায়া অবলম্বনে]
 
 সিদ্ধান্ত:
  আজকে দেশে রব উঠেছে, দেশেতে নেই খাদ্য;
  ‘আছে’, সেটা প্রমাণ করাই অধুনা ‘সম্পাদ্য’।
 
 কল্পনা:
  মনে করো, আসছে জাপান অতি অবিলম্বে,
  সাধারণকে রুখতে হবে অতি দৃঢ় ‘লম্বে’।
  “খাদ্য নেই” এর প্রথম পাওয়া খুব ‘সরল রেখা’তে,
  দেশরক্ষার ‘লম্ব’ তোলাই আজকে হবে শেখাতে।
 
 অঙ্কন:
  আত্মনিয়ন্ত্রণের দাবীর ক্ষুদ্র বিন্দু থেকে,
  প্রতিরোধের বিন্দুতে নাও ঐক্য-রেখা এঁকে!
  ‘হিন্দু-মুসলমানে’র কেন্দ্রে, দুদিকের দুই ‘চাপে’
  যুক্ত করো উভয়কে এক প্রতিরোধের ধাপে।
  প্রতিরোধের বিন্দুতে দুই জাতি যদি মেলে,
  সাথে সাথেই খাদ্য পাওয়ার হদিশ তুমি পেলে।
 
 প্রমাণ:
  খাদ্য এবং প্রতিরোধ উভয়েরই চাই,
  হিন্দু এবং মুসলমান মিলন হবে তাই।
  উভয়ের চাই স্বাধীনতা, উভয় দাবীই সমান,
  দিকে দিকে ‘খাদ্যলাভ’ একতারই প্রমাণ।
  প্রতিরোধের সঠিক পথে অগ্রসর যারা,
  ঐক্যবদ্ধ পরস্পর খাদ্য পায় তারা॥",Bengali,Longing
3801,"অতি কিশোরের ছড়া
 
 সুকান্ত ভট্টাচার্য
 
 
 তোমরা আমায় নিন্দে ক’রে দাও না যতই গালি,
 আমি কিন্তু মাখছি আমার গালেতে চুনকালি,
 কোনো কাজটাই পারি নাকো বলতে পারি ছড়া,
 পাশের পড়া পড়ি না ছাই পড়ি ফেলের পড়া।
 তোতো ওষুধ গিলি নাকো, মিষ্টি এবং টক
 খাওয়ার দিকেই জেনো আমার চিরকালের সখ।
 বাবা-দাদা সবার কাছেই গোঁয়ার এবং মন্দ,
 ভাল হয়ে থাকার সঙ্গে লেগেই আছে দ্বন্দ্ব ।
 পড়তে ব’সে থাকে আমার পথের দিকে চোখ,
 পথের চেয়ে পথের লোকের দিকেই বেশী ঝোঁক।
 হুলের কেয়ার করি নাকো মধুর জন্য ছুটি,
 যেখানে ভিড় সেখানেতেই লাগাই ছুটোছুটি।
 পণ্ডিত এবং বিজ্ঞজনের দেখলে মাথা নাড়া,
 ভাবি উপদেশের ষাঁড়ে করলে বুঝি তারা।
 তাইতো ফিরি ভয়ে ভয়ে, দেখলে পরে তর্ক,
 বুঝি কেবল গোময় সেটা,- নয়কো মধুপর্ক।
 ভুল করি ভাই যখন তখন, শোধরাবার আহ্লাদে
 খেয়ালমতো কাজ করে যাই, কস্ট পাই কি সাধে ?
 সোজাসুজি যা হয় বুঝি, হায় অদৃস্ট চক্র!
 আমার কথা বোঝে না কেউ পৃথিবীটাই বক্র।।",Bengali,Longing
3802,"আজব লড়াই
 
 সুকান্ত ভট্টাচার্য
 
 
 ফেব্রুয়ারী মাসে ভাই, কলকাতা শহরে
 ঘটল ঘটনা এক, লম্বা সে বহরে!
 লড়াই লড়াই খেলা শুরু হল আমাদের,
 কেউ রইল না ঘরে রামাদের শ্যামাদের;
 রাস্তার কোণে কোণে জড়ো হল সকলে,
 তফাৎ রইল নাকো আসলে ও নকলে,
 শুধু শুনি ‘ধর’ ‘ধর’ ‘মার’ ‘মার’ শব্দ
 যেন খাঁটি যুদ্ধ এ মিলিটারী জব্দ।
 বড়রা কাঁদুনে গ্যাসে কাঁদে, চোখ ছল ছল
 হাসে ছিঁচকাঁদুনেরা বলে, ‘সব ঢাল জল’।
 ঐ বুঝি ওরা সব সঙ্গীন উঁচোলো,
 ভয় নেই, যত হোক বেয়নেট ছুঁচোলো,
 ইট-পাটকেল দেখি রাখে এরা তৈরি,
 এইবার যাবে কোথা বাছাধন বৈরী!
 ভাবো বুঝি ছোট ছেলে, একেবারে বাচ্চা!
 এদের হাতেই পাবে শিক্ষাটা আচ্ছা;
 ঢিল খাও, তাড়া খাও, পেট ভরে কলা খাও,
 গালাগালি খাও আর খাও কানমলা খাও।
 জালে ঢাকা গাড়ি চড়ে বীরত্ব কি যে এর
 বুঝবে কে, হরদম সামলায় নিজেদের।
 বার্মা-পালানো সব বীর এরা বঙ্গে
 যুদ্ধ করছে ছোট ছেলেদের সঙ্গে;
 ঢিলের ভয়েতে ওরা চালায় মেশিনগান,
 “বিশ্ববিজয়ী” তাই রাখে জান, বাঁচে মান।
 খালি হাত ছেলেদের তেড়ে গিয়ে করে খুন;
 সাবাস! সাবাস! ওরা খেয়েছে রাজার নুন।
 
 ডাংগুলি খেলা নয়, গুলির সঙ্গে খেলা,
 রক্ত-রাঙানো পথে দু’পাশে ছেলের মেলা;
 দুর্দম খেলা চলে, নিষেধে কে কান দেয়?
 ও-বাড়ি ও ও-পাড়ার কালো, ছোটু প্রাণ দেয়।
